area_sqft,bedrooms,bathrooms,floors,parking,age_years,city,locality,school_distance_km,hospital_distance_km,metro_distance_km,price
1360,3,2,1,2,25,Bengaluru,North,1.73,0.77,13.02,9368406
2185,5,5,2,1,1,Mumbai,West,1.98,2.0,4.7,22177717
4617,5,4,1,2,26,Mumbai,East,4.12,0.66,14.61,40903128
3505,3,4,1,2,4,Pune,South,6.15,1.87,1.16,18805066
2935,1,1,2,1,8,Pune,East,0.36,2.46,3.77,15350921
1275,3,3,1,3,17,Bengaluru,North,6.69,3.25,7.9,9538425
4343,5,6,2,1,11,Mumbai,West,9.41,8.97,9.05,38922707
837,5,5,1,3,27,Pune,East,5.52,1.58,12.07,4699852
564,1,2,1,3,0,Bengaluru,South,2.15,0.25,12.27,4183299
4974,5,5,3,1,8,Bengaluru,North,9.17,8.53,6.85,32286640
3604,5,6,2,2,2,Chandigarh,Central,4.83,1.37,10.76,17948497
4993,3,2,3,2,25,Delhi,West,0.45,1.26,0.67,34479968
3290,1,1,2,0,22,Bengaluru,Central,6.12,5.49,3.21,19567276
3814,4,4,2,0,29,Chandigarh,North,6.41,8.74,12.09,17840994
4127,4,4,2,2,25,Delhi,Central,1.4,3.69,13.62,28185160
3175,5,4,3,2,5,Mumbai,Central,5.21,4.29,3.49,29775187
1163,3,3,1,3,16,Bengaluru,Central,0.84,2.69,3.85,8886363
2136,1,1,3,0,1,Delhi,West,5.13,0.7,4.32,14599693
3974,2,1,2,3,5,Bengaluru,North,2.57,6.79,11.47,24931315
2827,5,5,2,1,10,Pune,East,8.2,8.02,2.43,15508806
4782,5,6,3,3,18,Mumbai,West,7.17,8.13,5.36,43958406
3419,1,2,1,0,17,Mumbai,West,9.26,8.8,4.02,27586950
1123,1,1,2,0,15,Bengaluru,West,9.66,5.67,13.26,5761701
2182,3,3,1,3,19,Bengaluru,Central,1.02,1.78,13.5,13382692
4423,3,3,1,2,24,Chandigarh,East,0.25,1.78,8.32,20971773
4567,1,1,2,0,15,Pune,South,7.52,6.57,12.77,22959052
4996,1,2,3,1,22,Bengaluru,West,2.65,5.98,14.69,29681856
725,5,5,1,3,14,Pune,West,5.03,2.11,10.89,5235637
